"","year","imp_log_mean","imp_sd","wtd_log_mean","unwtd_log_mean","n_stations"
"1",1975,6.62289250083221,0.654120941876438,5.46692837399338,5.46692837399338,112
"2",1976,7.11191332922479,0.443277353325003,6.2441381868363,6.2441381868363,171
"3",1977,7.45707617523231,0.657540930680457,6.7232788559415,6.7232788559415,131
"4",1978,5.71920155815817,0.335195341429189,5.00470779041151,5.00470779041151,204
"5",1979,4.39746379554549,0.49113601811949,3.10166289084808,3.10166289084808,174
"6",1980,5.29814907037726,0.136245033449985,4.48602950444034,4.48602950444034,259
"7",1981,5.45557911465478,0.252633953829244,4.76341432462905,5.11039717083458,240
"8",1982,5.90037133118757,0.101298306158819,4.7734393286756,4.79502295628525,273
"9",1983,5.86246132191688,0.0883779319276122,4.46876604506278,4.89605139828628,290
"10",1984,4.46310809588134,0.0673665234141881,3.19424987200905,3.71463822733376,292
"11",1985,4.10751774072507,0.0698131144717976,2.95419407831141,3.39193378411817,291
"12",1986,3.80712190749347,0.0636858725938304,2.70461781319034,3.29592655807557,291
"13",1987,4.3151218769963,0.0882204748506347,3.38168956757081,4.06812844913957,295
"14",1988,4.69226059150488,0.0146145206676005,3.75657785959607,4.27305263923942,309
"15",1989,4.84214209652655,0.0123986049393051,3.86471330800749,4.56638749908798,311
"16",1990,5.12829653115103,0.00157065652564134,4.11765989907292,4.75148215004874,309
"17",1991,4.79139512166519,0.00157127480044054,3.82989296815194,4.20775722843873,309
"18",1992,4.46435336775746,0.0855163900972734,3.5859735306902,3.93384417524523,297
"19",1993,4.58429740541508,0.00151071833244304,3.64589539092497,4.3159629483445,311
"20",1994,4.56890273866217,0.000906822333965009,3.66654931720681,4.02034879835846,311
"21",1995,5.35985091113728,NA,4.26976391332396,4.80537743806433,312
"22",1996,5.20150500462802,0.00117286830383401,4.15757848309499,4.80305370914961,311
"23",1997,4.45689433283782,NA,3.56276172299202,4.06632955247998,312
"24",1998,4.14660553551547,0.000562424649758172,3.30435518250394,3.70130924777949,311
"25",1999,3.31175752190629,0.000689499708598722,2.66057776586534,2.74939034966071,311
"26",2000,3.57133230348212,0.000606465240839189,2.87815028091497,3.0603233937265,310
"27",2001,4.14578891603994,NA,3.31316847502613,3.74658400953197,312
"28",2002,3.11821255715976,0.00283686448268732,2.50980652730852,2.62422767756113,311
"29",2003,2.70345051563559,NA,2.15283481233027,2.47905475963671,312
"30",2004,2.53507902914831,0.00264353312448428,2.025313999998,2.31495122826807,311
"31",2005,3.48126169112397,0.0179533530665242,2.76030943787735,3.33427650412773,309
"32",2006,3.39901191773302,0.00779662191280157,2.695573615528,3.2221963779915,311
"33",2007,4.59375622880651,NA,3.67366946127196,4.19858664580873,312
"34",2008,4.30075160827781,NA,3.43346616176983,4.01373467839761,312
"35",2009,4.0553747647751,NA,3.22612673349552,3.80203447606329,312
"36",2010,3.87492207224501,NA,3.08891863848039,3.35871923581432,312
"37",2011,3.78961935530204,NA,3.01654211245063,3.49069259283038,312
"38",2012,4.11332937152998,NA,3.27768700471437,3.63564147782387,312
"39",2013,4.11415126995107,NA,3.27530211621713,3.76546599393616,312
"40",2014,4.05856615136318,NA,3.2283737424179,3.81973190702642,312
"41",2015,3.11410182744427,NA,2.48403001625055,2.68281779209205,312
"42",2016,2.56972277963404,NA,2.0424369687583,2.48182042993456,312
"43",2017,2.63042390984921,NA,2.09512712001161,2.39546066881189,312
"44",2018,3.3296295441395,NA,2.65259498477435,3.02565501854971,312
"45",2019,4.25394141864011,NA,3.41813428870548,3.80776800007882,312
"46",2021,2.70870073104438,NA,2.1553431876251,2.54480650853995,312
"47",2022,1.58864686115565,NA,1.26614899378155,1.41081061284837,312
